10537759;34.1111233;-118.2436242
10552912;34.1154773;-118.1843474
10559926;34.1022302;-118.23712
10559930;34.0867848;-118.2257778
13880107;33.882968;-118.2853777
13880112;33.9228761;-118.2816372
13880113;33.9292694;-118.281094
13881920;33.9485277;-118.2793806
13885922;34.065621;-118.2425261
13885925;34.0679137;-118.2379651
13885933;34.0730538;-118.233984
13885935;34.0788967;-118.227564
14695503;34.0883182;-118.2260967
14697104;34.0838579;-118.2224346
14697230;34.0848017;-118.2212083
14697231;34.0864254;-118.2190545
14697232;34.0904947;-118.2118862
14697234;34.0945179;-118.2084919
14697235;34.0985812;-118.2046947
14697295;34.1123929;-118.2436055
14697296;34.1125363;-118.2436129
14697299;34.1156342;-118.246608
14697301;34.1187344;-118.2497041
14721948;34.1377996;-118.2671965
14759630;34.1049737;-118.2021772
14759680;34.1028885;-118.2028929
14759681;34.1043607;-118.2028277
14759683;34.1062925;-118.1995198
14760044;34.1117275;-118.1884246
14965940;34.0901137;-118.2125555
15029454;34.1283564;-118.2592316
15336465;34.1228576;-118.1849963
15336477;34.1416569;-118.1862883
15679440;34.1113998;-118.189094
15683076;35.1212473;-118.1269085
15761130;33.9329855;-118.3962404
15761133;33.9403112;-118.3961297
15761136;33.9473346;-118.3960987
15849800;34.1075986;-118.1968703
15970169;34.0376196;-118.6765197
15970181;34.020764;-118.7948143
15970201;34.016378;-118.8206682
16696233;34.1110764;-118.1897949
16743870;34.0909967;-118.2113105
16746768;34.142486;-118.269592
16747027;34.1744223;-118.2998907
16747029;34.1786942;-118.3057268
16747031;34.1801188;-118.3077032
16747033;34.1823444;-118.3107396
16755064;34.1916953;-118.326526
16988499;34.0873507;-118.2178467
16988500;34.0981411;-118.2054424
17507315;34.1037444;-118.2029873
17507317;34.101894;-118.2031872
18075314;34.1201655;-118.183758
18166002;33.9198172;-118.3961924
18166003;33.916385;-118.3960995
18166004;33.9077876;-118.3960384
18166005;33.901956;-118.396265
18166105;33.9941128;-118.4528311
18166166;34.0563993;-118.2498645
18166168;34.0543334;-118.2466077
18166169;34.0536398;-118.2455373
18166171;34.0557227;-118.243595
18219591;34.1368843;-118.2645278
18361078;34.088534;-118.215623
18364101;34.0992886;-118.2041022
18364102;34.1068351;-118.1983915
18364118;34.110559;-118.1908114
18364121;34.1146834;-118.1851374
18410566;34.1366996;-118.1881103
18660349;34.0874589;-118.2258642
19344369;33.6167297;-117.9039108
19344463;33.6189825;-117.9215032
19344501;33.4644963;-117.6808199
19344570;33.6225755;-117.9384042
19344873;33.6177443;-117.9193835
19344926;33.6210167;-117.9260742
19344965;33.464242;-117.6835439
19668439;34.1568804;-118.2775456
19808983;34.1030115;-118.2028785
19808984;34.1079464;-118.1961508
19945512;34.1141061;-118.1857195
20399918;33.9235839;-118.2825947
20399938;33.7898607;-118.189483
20399954;33.7726443;-118.1894791
20399963;34.0662594;-118.241274
20399998;34.0565503;-118.2531375
20400047;34.0767472;-118.230786
20400052;33.81655;-118.379894
20400083;33.791607;-118.2557075
20400087;34.0810016;-118.2250356
20400097;33.790933;-118.294257
20400111;33.7735825;-118.1894889
20400117;33.9018899;-118.2827709
20400137;34.0500608;-118.2592534
20400154;33.8874171;-118.3959357
20400166;34.0591429;-118.2499944
20400183;33.9601091;-118.2827171
20400234;33.7897275;-118.298128
20400238;33.8185399;-118.3832281
20400252;34.0479467;-118.2612412
20400258;33.8151481;-118.3728025
20400270;34.0827374;-118.2239195
20400292;34.0273404;-118.2765547
20445206;33.9478224;-118.2797211
20445207;33.9334032;-118.2806312
20827683;34.095928;-118.2073307
20827684;34.0961583;-118.2071528
20939808;34.1069343;-118.198188
20972360;34.0850589;-118.2291472
20980021;34.1096524;-118.1926646
20980022;34.1095572;-118.1928708
21025748;34.1089086;-118.1941969
21025749;34.1048026;-118.2024401
21025750;34.1041897;-118.2029109
21025759;34.0951396;-118.207984
21025760;34.0943404;-118.2086399
21025769;34.0936887;-118.2091705
21098508;33.8362522;-118.340046
21098545;34.0343642;-118.2720528
21132496;34.1082534;-118.1955417
21150978;34.0854431;-118.2203539
21300151;33.9455277;-118.3960951
21300155;33.9513189;-118.3961107
21300257;34.049348;-118.2581639
21302766;34.0564977;-118.244506
21302801;34.0111418;-118.2827383
21302828;33.9525371;-118.3967796
21302829;33.9532597;-118.3981689
21302831;33.9534279;-118.4108756
21302832;33.9539411;-118.4125763
21302834;33.9650871;-118.4236843
21302835;33.9659921;-118.4259935
21302836;33.967097;-118.4270893
21306045;33.9446158;-118.3960947
21306051;33.9318383;-118.396239
21384119;34.1268149;-118.2579553
21384132;34.1532417;-118.2751102
21384134;34.1598186;-118.2803342
21420508;34.0626773;-118.2462968
21490282;34.2519866;-118.4071723
21490283;34.252898;-118.4081405
21507074;34.0908636;-118.2114464
21507184;34.1104702;-118.1909938
21569719;34.2720389;-118.4284517
21650979;34.0979332;-118.2057173
21662853;34.0723425;-118.2345611
21687766;34.1136567;-118.1862063
21748273;34.0406315;-118.2680555
23963702;33.8944641;-118.2856177
23963705;33.882624;-118.2848506
23963833;33.8624741;-118.2849621
23963848;33.8927935;-118.2858831
23963874;33.9207545;-118.28226
24396371;34.2190914;-118.3690372
24960515;33.9923427;-118.4494641
24970613;34.1090187;-118.1939732
24970617;34.1085044;-118.1950123
25510504;34.2158231;-118.3642175
25522199;33.9309936;-118.2825915
25679136;33.6211872;-117.9305612
25679160;33.7717633;-118.1185683
25843064;34.1209192;-118.2519299
25843142;34.172086;-118.19195
25843184;34.181667;-118.1963471
26197073;33.79046;-118.1425782
